"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.371710945E0,1.931926608E-2,4.187643528E-2,-1.379661560E-1,1.454700315E-1
1.376761518E0,4.516068101E-2,4.394197464E-2,-8.252525330E-2,1.038306394E-1
1.381819695E0,2.545985579E-2,8.197784424E-3,-7.034587860E-2,7.525922244E-2
1.386870268E0,5.530890822E-2,1.804339886E-2,-7.731914520E-2,9.676202657E-2
1.391920893E0,3.494948149E-2,3.014206886E-2,1.287460327E-3,4.616999161E-2
1.396971518E0,4.095038772E-2,-1.249432564E-2,5.311107635E-2,6.821897726E-2
1.402022091E0,6.823039055E-2,-1.449382305E-2,7.363414764E-2,1.014270418E-1
1.407072716E0,1.071387529E-1,-5.225348473E-2,9.400653839E-2,1.518103037E-1
1.412128654E0,1.027490497E-1,-4.017317295E-2,1.285018921E-1,1.693634769E-1
1.417179227E0,1.482021213E-1,-9.440898895E-3,1.983737946E-1,2.478006491E-1
1.422229852E0,1.292247474E-1,-5.546689034E-3,2.083425522E-1,2.452272826E-1
1.427280424E0,1.271450520E-1,2.604246140E-3,1.779146194E-1,2.186921538E-1
1.432331049E0,1.106887162E-1,1.265537739E-2,1.786708832E-1,2.105598133E-1
1.437381674E0,9.908306599E-2,1.952886581E-2,1.747684479E-1,2.018485594E-1
1.442430164E0,8.047622442E-2,9.210109711E-3,1.970996857E-1,2.130951311E-1
1.447480737E0,7.623222470E-2,-1.341497898E-2,1.694288254E-1,1.862724902E-1
1.452531362E0,6.924086809E-2,1.124823093E-2,1.301469803E-1,1.478480875E-1
1.457581987E0,3.844833374E-2,-2.172064781E-2,1.007480621E-1,1.100010588E-1
1.462632508E0,5.062699318E-2,-1.428651810E-2,7.400321960E-2,9.079467798E-2
1.467683133E0,4.845753312E-2,2.872157097E-2,5.223369598E-2,7.682070132E-2
1.472728549E0,5.111014843E-2,-2.112507820E-3,2.587699890E-2,5.732651249E-2
1.477779122E0,6.552705169E-2,1.730346680E-2,1.397323608E-2,6.919866901E-2
1.482829747E0,4.894143343E-2,3.686857224E-2,7.101631165E-2,9.379697247E-2
1.487880372E0,7.335078716E-2,3.535938263E-2,1.037864685E-1,1.319176067E-1
1.492930997E0,7.166144252E-2,5.323970318E-2,1.314926147E-1,1.589343766E-1
1.497981570E0,8.935979009E-2,3.332722187E-2,1.636857986E-1,1.894437027E-1
1.503033810E0,9.560948610E-2,2.566814423E-2,1.861057281E-1,2.107969865E-1
1.508084435E0,6.664007902E-2,2.778232098E-2,2.344646454E-1,2.453292225E-1
1.513135008E0,4.838275909E-2,2.519166470E-2,2.563238144E-1,2.620637502E-1
1.518185633E0,1.461058855E-2,5.951642990E-3,1.782817841E-1,1.789784509E-1
