"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.280104118E0,-1.082039997E-1,6.597009301E-2,-9.995690733E-2
1.285152921E0,-1.284389943E-1,5.958009511E-2,-1.010219082E-1
1.290201671E0,-1.433489919E-1,5.212509632E-2,-9.995690733E-2
1.295250473E0,-1.465439945E-1,4.573509470E-2,-1.010219082E-1
1.300365577E0,-1.476089954E-1,3.828009591E-2,-9.889190644E-2
1.305414327E0,-1.444139928E-1,2.976009436E-2,-9.889190644E-2
1.310463077E0,-1.358939856E-1,2.017509378E-2,-9.995690733E-2
1.315511879E0,-1.231139973E-1,1.272009313E-2,-1.031519100E-1
1.320560629E0,-1.039440036E-1,8.460094221E-3,-9.889190644E-2
1.325609379E0,-8.477400243E-2,4.200093914E-3,-9.782690555E-2
1.330654275E0,-6.879900396E-2,2.070093527E-3,-9.782690555E-2
1.335703077E0,-5.708400160E-2,2.070093527E-3,-9.356690943E-2
1.340751775E0,-5.495399982E-2,-2.189906314E-3,-9.356690943E-2
1.345800577E0,-5.921399966E-2,2.070093527E-3,-9.250190854E-2
1.350849327E0,-6.773400307E-2,1.378509402E-2,-8.717691153E-2
1.355898077E0,-8.157899976E-2,2.763009444E-2,-7.759191096E-2
1.360945212E0,-1.028790027E-1,4.360509291E-2,-6.694190949E-2
1.365993962E0,-1.263089925E-1,5.851509422E-2,-5.629190803E-2
1.371042712E0,-1.465439945E-1,6.810008734E-2,-4.244690388E-2
1.376091514E0,-1.603889912E-1,7.768508792E-2,-3.073190711E-2
1.381140264E0,-1.710390002E-1,8.407509327E-2,-1.475690585E-2
1.386189066E0,-1.721039861E-1,9.046509117E-2,1.218093792E-3
1.391266358E0,-1.678439975E-1,9.472508729E-2,1.506309398E-2
1.396315160E0,-1.561289877E-1,9.259509295E-2,2.571309358E-2
1.401363910E0,-1.422839910E-1,8.407509327E-2,3.423309326E-2
1.406412660E0,-1.305689961E-1,8.194509149E-2,3.423309326E-2
1.411461462E0,-1.295039952E-1,8.088009059E-2,2.890809439E-2
1.416510212E0,-1.390889883E-1,8.514009416E-2,2.038809471E-2
1.421567608E0,-1.465439945E-1,9.898509085E-2,1.399809401E-2
1.426616410E0,-1.614539921E-1,1.213500872E-1,1.080309413E-2
1.431665160E0,-1.848839968E-1,1.394550949E-1,2.283093752E-3
1.436713962E0,-2.083139867E-1,1.522351056E-1,-5.171906203E-3
1.441762712E0,-2.296139896E-1,1.564950943E-1,-1.156190597E-2
1.446811462E0,-2.498489916E-1,1.554300934E-1,-1.156190597E-2
1.451875837E0,-2.690190077E-1,1.511701047E-1,-1.369190589E-2
1.456924587E0,-2.892540097E-1,1.458451003E-1,-1.688690670E-2
1.461973337E0,-3.073590100E-1,1.437150985E-1,-1.582190581E-2
1.467022139E0,-3.212040067E-1,1.469101012E-1,-1.475690585E-2
1.472070889E0,-3.286589980E-1,1.533000916E-1,-1.262690593E-2
1.477119639E0,-3.350490034E-1,1.564950943E-1,-9.431906044E-3
1.482185785E0,-3.339840174E-1,1.543650925E-1,-6.236906163E-3
1.487234535E0,-3.212040067E-1,1.522351056E-1,2.283093752E-3
1.492283285E0,-2.977740169E-1,1.426500976E-1,7.608093787E-3
1.497332087E0,-2.711490095E-1,1.341301054E-1,1.399809401E-2
1.502380837E0,-2.391989976E-1,1.192200929E-1,1.719309390E-2
1.507429639E0,-2.072489858E-1,1.085700914E-1,2.038809471E-2
1.512498285E0,-1.710390002E-1,1.000500917E-1,2.145309374E-2
1.517547035E0,-1.358939856E-1,8.940009028E-2,1.932309382E-2
1.522595785E0,-1.135290042E-1,8.514009416E-2,8.673094213E-3
1.527644587E0,-1.018140018E-1,7.981508970E-2,1.218093792E-3
1.532693337E0,-9.648899734E-2,7.342509180E-2,-3.041906282E-3
1.537742087E0,-1.039440036E-1,7.129509002E-2,-9.431906044E-3
1.542810212E0,-1.145939976E-1,7.129509002E-2,-1.582190581E-2
1.547858962E0,-1.316339970E-1,7.342509180E-2,-1.688690670E-2
1.552907712E0,-1.444139928E-1,7.875008881E-2,-1.688690670E-2
1.557956514E0,-1.539989859E-1,8.833508939E-2,-1.475690585E-2
1.563005264E0,-1.571939886E-1,9.685508907E-2,-1.262690593E-2
1.568054066E0,-1.550639868E-1,9.898509085E-2,-1.262690593E-2
1.573102087E0,-1.518689990E-1,9.792008996E-2,-1.156190597E-2
1.578150889E0,-1.486739963E-1,9.259509295E-2,-9.431906044E-3
1.583199639E0,-1.486739963E-1,8.088009059E-2,-9.431906044E-3
1.588248389E0,-1.476089954E-1,6.597009301E-2,-3.041906282E-3
1.593297139E0,-1.486739963E-1,5.958009511E-2,1.218093792E-3
1.598345941E0,-1.539989859E-1,5.212509632E-2,5.478093866E-3
1.603404691E0,-1.646489948E-1,4.999509454E-2,5.478093866E-3
1.608453493E0,-1.774289906E-1,5.319009349E-2,1.218093792E-3
1.613502243E0,-1.891440004E-1,5.319009349E-2,-4.106906243E-3
1.618551046E0,-1.955339909E-1,5.638509616E-2,-5.171906203E-3
1.623599743E0,-1.955339909E-1,6.171009317E-2,-6.236906163E-3
1.628648546E0,-1.902089864E-1,6.703509390E-2,-8.366906084E-3
1.633708025E0,-1.763639897E-1,7.023008913E-2,-1.156190597E-2
1.638756775E0,-1.550639868E-1,7.129509002E-2,-1.475690585E-2
1.643805525E0,-1.326989979E-1,7.342509180E-2,-2.327690646E-2
1.648854327E0,-1.124640033E-1,7.129509002E-2,-3.179690987E-2
1.653903077E0,-9.648899734E-2,7.342509180E-2,-4.138190299E-2
1.658951827E0,-8.370900154E-2,8.833508939E-2,-5.629190803E-2
1.664016671E0,-7.412400097E-2,1.085700914E-1,-7.333190739E-2
1.669065421E0,-7.518900186E-2,1.373250932E-1,-8.611191064E-2
1.674114171E0,-8.157899976E-2,1.714050919E-1,-9.676190466E-2
1.679162973E0,-9.648899734E-2,1.948350966E-1,-1.031519100E-1
1.684211723E0,-1.103340015E-1,2.118750960E-1,-1.031519100E-1
1.689260473E0,-1.177890003E-1,2.321100980E-1,-1.020869091E-1
1.694403077E0,-1.199190021E-1,2.523450851E-1,-1.010219082E-1
1.699451827E0,-1.177890003E-1,2.683200836E-1,-9.356690943E-2
1.704500577E0,-1.103340015E-1,2.821650803E-1,-8.930690587E-2
1.709549327E0,-9.435900301E-2,2.938800752E-1,-8.398190886E-2
1.714598129E0,-7.412400097E-2,2.981400788E-1,-8.291690797E-2
1.719646879E0,-6.027900055E-2,2.949450910E-1,-8.185190707E-2
1.724625785E0,-5.601900071E-2,2.970750928E-1,-8.398190886E-2
1.729674587E0,-6.134400144E-2,2.992050946E-1,-9.037190676E-2
1.734723337E0,-7.625400275E-2,3.045300841E-1,-9.676190466E-2
1.739772087E0,-1.018140018E-1,3.013350964E-1,-9.676190466E-2
1.744820837E0,-1.284389943E-1,2.917500734E-1,-9.569691122E-2
1.749869639E0,-1.508039981E-1,2.693850696E-1,-9.037190676E-2
1.754939431E0,-1.721039861E-1,2.459550947E-1,-7.972190529E-2
1.759988181E0,-1.934039891E-1,2.310450971E-1,-7.226690650E-2
1.765036931E0,-2.147039920E-1,2.321100980E-1,-6.161690503E-2
1.770085681E0,-2.349389941E-1,2.395651042E-1,-5.416190624E-2
1.775134483E0,-2.562389970E-1,2.629950941E-1,-4.883690923E-2
1.780183233E0,-2.796690166E-1,2.981400788E-1,-5.416190624E-2
1.785284483E0,-3.073590100E-1,3.418050706E-1,-5.735690892E-2
1.790333285E0,-3.329190016E-1,3.950550854E-1,-5.735690892E-2
1.795382035E0,-3.520890176E-1,4.504350722E-1,-5.522690713E-2
1.800430785E0,-3.648689985E-1,4.930350780E-1,-5.096690357E-2
1.805479535E0,-3.691290021E-1,5.281801224E-1,-4.138190299E-2
1.810528337E0,-3.701940179E-1,5.537400842E-1,-3.073190711E-2
1.815575316E0,-3.638040125E-1,5.729101300E-1,-2.008190565E-2
1.820624066E0,-3.552840054E-1,5.867550969E-1,-7.301906124E-3
1.825672816E0,-3.435690105E-1,5.942100883E-1,1.218093792E-3
1.830721618E0,-3.297240138E-1,5.878201127E-1,1.218093792E-3
1.835770368E0,-3.233340085E-1,5.739750862E-1,-3.041906282E-3
1.840819118E0,-3.201390207E-1,5.526751280E-1,-1.156190597E-2
1.845892921E0,-3.190740049E-1,5.313751101E-1,-2.647190541E-2
1.850941671E0,-3.158790171E-1,4.972950816E-1,-4.351190478E-2
1.855990421E0,-3.062939942E-1,4.483050704E-1,-6.055190414E-2
1.861039223E0,-2.903189957E-1,3.993150890E-1,-7.865690440E-2
1.866087973E0,-2.647590041E-1,3.460650742E-1,-1.020869091E-1
1.871136723E0,-2.306789905E-1,2.906850874E-1,-1.233869046E-1
1.876200889E0,-1.944689900E-1,2.353051007E-1,-1.478819102E-1
1.881249691E0,-1.539989859E-1,1.820551008E-1,-1.627919078E-1
1.886298441E0,-1.082039997E-1,1.362600923E-1,-1.723769009E-1
1.891347191E0,-6.560400128E-2,9.579008818E-2,-1.808969080E-1
1.896395941E0,-2.832899988E-2,6.703509390E-2,-1.926119030E-1
1.901444691E0,1.490999945E-3,4.467009380E-2,-2.000669092E-1
1.906513910E0,1.533600036E-2,3.295509517E-2,-2.096519023E-1
1.911562712E0,1.320600044E-2,2.763009444E-2,-2.149769068E-1
1.916611462E0,-1.704000053E-3,3.295509517E-2,-2.181719095E-1
1.921660212E0,-2.406900004E-2,4.467009380E-2,-2.149769068E-1
1.926708962E0,-5.282400176E-2,5.638509616E-2,-2.075219154E-1
1.931757764E0,-7.944899797E-2,6.384009123E-2,-1.979369074E-1
