"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.443777125E0,5.590873718E-1,1.651964722E0,9.570048981E0
1.453743125E0,7.433541870E-1,1.658850403E0,9.522747345E0
1.463708125E0,8.083190918E-1,1.686393127E0,9.492809601E0
1.473674125E0,7.527845764E-1,1.714983673E0,9.470356293E0
1.483639125E0,6.499484253E-1,1.724114685E0,9.556876373E0
1.493605125E0,5.438191223E-1,1.718875580E0,9.653126221E0
1.503570125E0,3.791615295E-1,1.678759003E0,9.760752411E0
1.513536125E0,2.595602417E-1,1.630559235E0,9.855056305E0
1.523501125E0,2.125579834E-1,1.614841919E0,9.897717590E0
1.533467125E0,2.498304749E-1,1.570534058E0,9.938732300E0
1.543432125E0,3.245251465E-1,1.536255341E0,9.866432648E0
1.553398125E0,3.927832031E-1,1.538800049E0,9.779613190E0
1.563363125E0,4.932243347E-1,1.610201569E0,9.651030579E0
1.573328125E0,5.474116516E-1,1.649270325E0,9.460476837E0
1.583294125E0,5.475613403E-1,1.689835968E0,9.394164734E0
1.593259125E0,4.986131287E-1,1.742676086E0,9.379046173E0
1.603225125E0,4.198768616E-1,1.723964996E0,9.466464386E0
1.613190125E0,3.185375977E-1,1.695823517E0,9.584868164E0
1.623156125E0,2.475851440E-1,1.678609314E0,9.670789490E0
1.633128000E0,2.145039368E-1,1.602717133E0,9.783954163E0
1.643094000E0,2.029779053E-1,1.574575653E0,9.792037354E0
1.653059000E0,2.180964661E-1,1.564696198E0,9.680818634E0
1.663025000E0,2.960842896E-1,1.552421722E0,9.615105286E0
1.672990000E0,4.159849548E-1,1.579216003E0,9.590855713E0
1.682956000E0,4.805007935E-1,1.618733826E0,9.615404663E0
1.692921000E0,5.337899780E-1,1.642684021E0,9.574240265E0
1.702887000E0,5.206173706E-1,1.675016785E0,9.538764038E0
1.712852000E0,4.707710266E-1,1.670526123E0,9.531578979E0
1.722818000E0,4.218228149E-1,1.667232971E0,9.555379486E0
1.732783000E0,3.552113342E-1,1.652862854E0,9.634415131E0
1.742749000E0,2.935395813E-1,1.628463593E0,9.713450775E0
1.752714000E0,2.746788025E-1,1.594184875E0,9.752669220E0
1.762680000E0,2.883004761E-1,1.560205536E0,9.758357391E0
1.772645000E0,2.975811768E-1,1.588796082E0,9.707912292E0
1.782611000E0,3.305126953E-1,1.617835693E0,9.640552368E0
1.792576000E0,4.587959290E-1,1.621128845E0,9.554181976E0
1.802542000E0,5.703140259E-1,1.678759003E0,9.514364777E0
1.812507000E0,5.679190063E-1,1.727108459E0,9.581425323E0
1.822472000E0,5.276527405E-1,1.707648926E0,9.635912018E0
1.832438000E0,4.962181091E-1,1.679357758E0,9.702523499E0
1.842403000E0,4.098477173E-1,1.671124878E0,9.834099884E0
1.852369000E0,3.409909058E-1,1.678609314E0,9.865684204E0
1.862334000E0,3.113525391E-1,1.634600830E0,9.833501129E0
1.872300000E0,3.034190369E-1,1.596879272E0,9.780960388E0
1.882265000E0,3.318598938E-1,1.612147522E0,9.700278168E0
1.892231000E0,3.980223083E-1,1.685644684E0,9.611812134E0
1.902196000E0,5.248086548E-1,1.690285034E0,9.554481354E0
1.912162000E0,6.256988525E-1,1.696272583E0,9.464219055E0
1.922127000E0,6.122268677E-1,1.774559784E0,9.474846954E0
1.932093000E0,5.348377991E-1,1.775757294E0,9.448801117E0
1.942058000E0,4.564009094E-1,1.752106476E0,9.470805359E0
1.952024000E0,3.909869385E-1,1.753753052E0,9.534572754E0
1.961989000E0,3.893403625E-1,1.706301727E0,9.567953339E0
1.971955000E0,4.020639038E-1,1.680106201E0,9.582772522E0
1.981920000E0,4.073030090E-1,1.686393127E0,9.565708008E0
1.991886000E0,3.632945251E-1,1.688638458E0,9.633367310E0
2.001851000E0,3.303630066E-1,1.678309937E0,9.696236572E0
2.011817000E0,3.537144470E-1,1.629810791E0,9.713450775E0
2.021782000E0,4.059558105E-1,1.630409546E0,9.673633575E0
2.031747000E0,4.349954224E-1,1.693727875E0,9.567953339E0
2.041713000E0,4.433779907E-1,1.733994141E0,9.514065399E0
2.051678000E0,3.845503235E-1,1.739532623E0,9.488917694E0
2.061644000E0,3.192860413E-1,1.722767487E0,9.547445984E0
2.071609000E0,2.353106689E-1,1.700763245E0,9.701625366E0
2.081575000E0,1.872605896E-1,1.684746552E0,9.766590271E0
2.091540000E0,1.920506287E-1,1.631756744E0,9.782008209E0
2.101506000E0,2.489323425E-1,1.593137054E0,9.726473694E0
2.111471000E0,2.643502808E-1,1.615141296E0,9.656868439E0
2.121437000E0,3.183879089E-1,1.638343048E0,9.571845245E0
2.131402000E0,3.906875610E-1,1.634451141E0,9.505982208E0
2.141368000E0,3.917353821E-1,1.645977173E0,9.552535400E0
2.151333000E0,3.336561584E-1,1.667682037E0,9.586215363E0
2.161299000E0,2.751278687E-1,1.669927368E0,9.567653961E0
2.171264000E0,2.800675964E-1,1.652713165E0,9.626032562E0
2.181230000E0,2.903961182E-1,1.629062347E0,9.729916534E0
2.191195000E0,3.275189209E-1,1.608554993E0,9.752818909E0
2.201161000E0,3.686833191E-1,1.591490479E0,9.720486145E0
2.211126000E0,4.299060059E-1,1.610950012E0,9.679770813E0
2.221092000E0,4.460723877E-1,1.633702698E0,9.640702057E0
2.231057000E0,4.502636719E-1,1.645677795E0,9.652527466E0
2.241022000E0,4.336482239E-1,1.642085266E0,9.653425598E0
2.250988000E0,3.867956543E-1,1.570084991E0,9.620494080E0
2.260953000E0,3.635939026E-1,1.568288727E0,9.682016144E0
2.270919000E0,3.544628906E-1,1.608105927E0,9.641899567E0
