"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.016799000E0,4.253897816E-2,-2.779462561E-2,-7.996172644E-3
2.026765000E0,2.849746123E-2,1.196770091E-2,-2.535865083E-2
2.036730000E0,-8.180839941E-3,5.803710222E-2,-3.837811574E-2
2.046696000E0,-5.366789550E-2,1.001752391E-1,-3.797091916E-2
2.056661000E0,-8.366689831E-2,1.071858257E-1,-2.927397564E-2
2.066627000E0,-8.601313829E-2,6.915216148E-2,-2.431224100E-2
2.076592000E0,-5.299961939E-2,1.554361638E-2,-1.688488200E-2
2.086558000E0,-1.079165842E-3,-2.637134306E-2,-8.508972824E-3
2.096523000E0,4.097067565E-2,-4.714667797E-2,8.004223928E-4
2.106489000E0,5.619357154E-2,-4.928572848E-2,7.380560972E-3
2.116454000E0,4.214951396E-2,-2.599773556E-2,3.123390488E-3
2.126420000E0,1.002247259E-2,1.415154897E-2,-7.025383413E-3
2.136385000E0,-1.353585161E-2,4.119168594E-2,-2.038092539E-2
2.146350000E0,-2.379754372E-2,3.909684345E-2,-2.942235768E-2
2.156316000E0,-2.766272984E-2,1.855400205E-2,-3.350375965E-2
2.166281000E0,-1.699730009E-2,-7.374799810E-3,-3.301586583E-2
2.176247000E0,6.270970684E-3,-3.274174780E-2,-2.308682166E-2
2.186212000E0,2.579833381E-2,-2.890519798E-2,-4.030305427E-3
2.196178000E0,3.601989523E-2,-1.204161812E-2,8.286263794E-3
2.206143000E0,2.718139440E-2,1.192603260E-2,6.487298291E-3
2.216109000E0,2.699664794E-3,2.384163626E-2,-5.820163991E-3
2.226074000E0,-1.237009838E-2,3.075120598E-2,-2.484977990E-2
2.236040000E0,-8.920949884E-3,4.103278369E-2,-3.062757850E-2
2.246005000E0,-9.814972989E-3,4.159764200E-2,-2.852474712E-2
2.255971000E0,-1.095340308E-2,2.528938465E-2,-2.479544282E-2
2.265936000E0,-1.185355149E-2,2.110742219E-2,-2.060469240E-2
2.275902000E0,-1.714845002E-2,2.727770060E-2,-1.603310928E-2
2.285867000E0,-2.225079760E-2,3.550207242E-2,-4.984986037E-3
2.295833000E0,-2.053650282E-2,3.699028119E-2,6.824328564E-3
2.305798000E0,-1.021702029E-2,2.381669171E-2,1.846953481E-2
2.315764000E0,1.381561160E-2,2.501548501E-3,2.133669332E-2
2.325729000E0,2.291616611E-2,-2.569466829E-2,1.126621570E-2
2.335694000E0,2.833406627E-2,-3.617507964E-2,-3.804520937E-3
2.345660000E0,3.501060978E-2,-1.529696025E-2,-1.522095967E-2
2.355625000E0,1.730461977E-2,1.170197316E-2,-1.565216109E-2
2.365591000E0,-1.098028105E-2,3.377212211E-2,-2.916392405E-3
2.375556000E0,-2.955600992E-2,3.334166482E-2,1.118545141E-2
2.385522000E0,-1.440448686E-2,3.196507692E-2,2.613963559E-2
2.395487000E0,-1.438349020E-3,4.145525396E-2,3.091740422E-2
2.405453000E0,-1.497204881E-3,3.980462626E-2,2.909153886E-2
2.415418000E0,-2.026903443E-2,2.790988050E-2,2.455052361E-2
2.425384000E0,-5.378704518E-2,7.680242881E-3,-2.203058451E-3
2.435349000E0,-6.420633197E-2,-1.436635945E-2,-3.269217163E-2
2.445315000E0,-5.036348850E-2,9.500357322E-3,-5.406244472E-2
2.455280000E0,-3.167938441E-2,2.747491561E-2,-5.586300045E-2
2.465246000E0,-1.427642535E-2,3.724791855E-2,-3.593669459E-2
2.475211000E0,-3.913537133E-3,2.853987925E-2,-1.092631370E-2
2.485177000E0,2.975794254E-3,1.346345805E-2,5.209247116E-3
2.495142000E0,1.122511458E-3,6.320631132E-3,2.697095647E-2
2.505108000E0,2.064374834E-2,6.333680358E-3,3.278836608E-2
2.515073000E0,3.105248325E-2,1.690942794E-2,2.684824914E-2
2.525038000E0,2.659461834E-2,2.118513174E-2,1.295054145E-2
2.535004000E0,1.612588950E-2,1.959293615E-3,3.310974222E-3
2.544969000E0,2.945372602E-3,-2.250903100E-2,-9.719212539E-4
2.554935000E0,2.569153439E-3,-3.520520777E-2,-1.070152968E-2
2.564900000E0,1.329317130E-2,-2.292057686E-2,-1.248265244E-2
2.574866000E0,2.598327771E-2,-6.493384950E-3,-8.483808488E-3
2.584831000E0,2.256963775E-2,7.558252662E-3,-6.327180192E-3
2.594797000E0,1.258704439E-2,4.168048501E-3,-2.752685454E-3
2.604762000E0,3.935233224E-3,4.490024410E-3,-5.220903084E-3
2.614728000E0,-6.483908743E-3,1.099149324E-2,-7.029157598E-3
2.624693000E0,-4.416496493E-3,3.351150313E-3,-1.541012526E-2
2.634652500E0,-5.965657532E-3,9.402651340E-3,-1.383246854E-2
2.644617500E0,-2.280512638E-2,1.450173464E-2,-1.532827504E-2
2.654583500E0,-4.200246930E-2,1.543474663E-2,-6.547864061E-3
2.664548500E0,-5.430600420E-2,1.608296111E-2,9.388145991E-4
2.674514500E0,-4.176171869E-2,1.454232167E-2,-4.109740257E-3
2.684479500E0,-8.074061945E-3,-2.218282782E-3,-1.095006987E-2
2.694444500E0,1.887979172E-2,-1.920339093E-2,-1.150560472E-2
2.704410500E0,1.968646236E-2,-4.145276919E-2,-7.804343477E-3
2.714375500E0,1.585974544E-2,-6.458821893E-2,-2.596685663E-4
2.724341500E0,3.800925612E-2,-5.713509768E-2,4.764292389E-4
2.734306500E0,4.905381799E-2,-1.137794089E-2,-1.429636497E-3
2.744272500E0,3.450656682E-2,2.065296285E-2,-1.681571361E-3
2.754237500E0,-1.775080338E-3,3.921665251E-2,1.863546204E-3
2.764203500E0,-4.612629861E-2,5.631254613E-2,5.290235858E-3
2.774168500E0,-7.582971454E-2,6.651251018E-2,6.825824268E-3
2.784134500E0,-7.895706594E-2,6.430767477E-2,1.286448911E-3
2.794099500E0,-5.718884245E-2,4.125416651E-2,-5.386497825E-3
2.804065500E0,-2.471399307E-2,-8.504603058E-3,-6.548434962E-3
2.814030500E0,5.201095250E-3,-5.356917530E-2,-5.344235804E-3
2.823996500E0,3.612305969E-2,-7.539457828E-2,-6.793794688E-3
2.833961500E0,4.854660481E-2,-6.690540165E-2,-3.004528116E-3
2.843927500E0,3.711658716E-2,-3.253464401E-2,4.091463983E-3
2.853892500E0,4.595747683E-3,1.045721024E-2,1.212801505E-2
2.863857500E0,-1.922729239E-2,3.903958574E-2,1.213493850E-2
2.873823500E0,-2.457243577E-2,4.442360997E-2,6.732112728E-3
2.883788500E0,-1.974039711E-2,3.405911848E-2,-4.320005421E-3
2.893754500E0,-1.050339639E-2,9.268463589E-3,-1.248165313E-2
2.903719500E0,-1.094228588E-2,-1.995147392E-2,-1.814859360E-2
2.913685500E0,-2.275569364E-2,-2.596254647E-2,-1.260683127E-2
2.923650500E0,-3.364322707E-2,-2.584696561E-2,2.634269185E-4
2.933616500E0,-3.237301111E-2,-9.436514229E-3,6.592704915E-3
2.943581500E0,-4.361348692E-3,6.966426969E-3,1.522108167E-2
2.953547500E0,2.090331167E-2,7.795042824E-3,2.701837383E-2
2.963512500E0,3.812224418E-2,4.283398855E-3,3.127489984E-2
2.973478500E0,4.465949163E-2,1.095005404E-2,2.749496698E-2
2.983443500E0,3.460579365E-2,1.675121859E-2,2.346773446E-2
2.993409500E0,2.244069241E-3,1.227700058E-2,1.557335630E-2
3.003374500E0,-3.445402533E-2,-2.522717696E-3,2.892182674E-3
3.013339500E0,-5.929747969E-2,-1.133250818E-2,-1.196267456E-2
3.023305500E0,-6.458998471E-2,-6.827238481E-3,-1.728074066E-2
3.033270500E0,-6.097679958E-2,2.292366233E-3,-1.698318496E-2
3.043236500E0,-5.517110601E-2,1.282703225E-2,-1.056948211E-3
3.053201500E0,-2.867208421E-2,1.224893052E-2,1.352270134E-2
3.063167500E0,4.807576537E-3,-1.674074912E-3,2.432767861E-2
3.073132500E0,3.129306808E-2,-2.214961126E-2,3.528464958E-2
3.083098500E0,4.648666829E-2,-4.194328934E-2,3.739920259E-2
3.093063500E0,5.433669314E-2,-3.589640558E-2,2.825910784E-2
3.103029500E0,4.245287180E-2,-7.560903206E-3,8.005235344E-3
3.112994500E0,2.309246734E-2,1.205989905E-2,-1.250109170E-3
3.122960500E0,3.434785176E-4,3.121441975E-2,6.591109559E-4
3.132925500E0,-1.505352743E-2,3.260629624E-2,1.012992579E-2
3.142891500E0,-1.724744029E-2,1.857570000E-2,1.675640419E-2
3.152856500E0,-1.804339234E-3,-8.867982775E-3,1.646956056E-2
3.162821500E0,1.752328500E-2,-3.070244193E-2,1.817904413E-2
3.172787500E0,2.795842290E-2,-3.770934418E-2,1.771759987E-2
3.182752500E0,2.528700605E-2,-3.166956082E-2,1.700014435E-2
3.192718500E0,4.644555040E-3,-1.715643331E-2,6.545311771E-3
3.202683500E0,-1.429691166E-2,-8.320542984E-4,-4.960076883E-3
3.212649500E0,-2.976188995E-2,2.315290645E-2,-2.044023201E-2
3.222614500E0,-3.741075099E-2,4.879382253E-2,-1.828759909E-2
3.232580500E0,-4.283162951E-2,4.416068643E-2,-6.462744437E-3
3.242545500E0,-3.067803010E-2,2.366872504E-2,4.953960888E-3
3.252511500E0,-1.601847634E-2,1.486413833E-2,1.553184353E-2
3.262476500E0,9.557134472E-4,3.317204304E-3,2.559539489E-2
3.272442500E0,6.893984042E-3,-7.110474631E-3,3.505135700E-2
3.282407500E0,9.768333286E-3,-2.500665002E-2,3.305292130E-2
3.292373500E0,1.370183192E-2,-3.638527170E-2,2.458907850E-2
3.302338500E0,2.452252060E-2,-2.599787712E-2,1.627602242E-2
3.312304500E0,2.970904112E-2,-1.158881094E-2,8.842451498E-3
3.322269500E0,2.496089041E-2,1.153887901E-2,3.303076141E-3
3.332234500E0,2.210922772E-3,2.364631929E-2,5.653776694E-3
3.342200500E0,-1.366977207E-2,2.795744501E-2,9.508969262E-3
3.352165500E0,-4.590682685E-3,1.920863986E-2,9.598706849E-3
3.362131500E0,1.352547016E-2,1.222050563E-2,4.680115730E-3
3.372096500E0,4.119087011E-2,6.657322869E-3,3.352243453E-3
3.382062500E0,4.667298868E-2,-5.518116523E-3,1.314655133E-2
3.392027500E0,3.139506653E-2,-1.571198553E-2,2.034708671E-2
3.401993500E0,1.205705479E-2,-2.706903592E-2,3.000796773E-2
3.411958500E0,3.965926822E-3,-3.176877275E-2,2.463886142E-2
3.421924500E0,9.452837519E-3,-1.593361609E-2,1.412496623E-2
3.431889500E0,2.081111446E-2,2.402834827E-3,7.224461529E-3
