"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.069112307E0,-4.643400013E-2,2.763009444E-2,-4.990190268E-2
1.074164442E0,-5.388899893E-2,5.265093409E-3,-6.055190414E-2
1.079216630E0,-5.814899877E-2,-1.496990677E-2,-6.800691038E-2
1.084269182E0,-5.814899877E-2,-2.774990536E-2,-7.439690828E-2
1.089321734E0,-5.069399998E-2,-2.455490641E-2,-7.759191096E-2
1.094374234E0,-4.110899940E-2,-1.070990600E-2,-7.865690440E-2
1.099426786E0,-2.832899988E-2,1.059009321E-2,-7.865690440E-2
1.104479338E0,-1.874400117E-2,3.189009428E-2,-7.652691007E-2
1.109527203E0,-1.341899950E-2,5.425509438E-2,-7.546190917E-2
1.114579755E0,-9.158999659E-3,7.555509359E-2,-6.694190949E-2
1.119632307E0,-5.963999778E-3,9.366009384E-2,-5.629190803E-2
1.124684807E0,-7.029000204E-3,1.138950884E-1,-4.138190299E-2
1.129737359E0,-1.022399962E-2,1.298701018E-1,-2.647190541E-2
1.134789911E0,-1.661400124E-2,1.405200958E-1,-9.431906044E-3
1.139835745E0,-2.300400101E-2,1.426500976E-1,2.283093752E-3
1.144888297E0,-3.791400045E-2,1.394550949E-1,5.478093866E-3
1.149940797E0,-5.708400160E-2,1.362600923E-1,1.530938316E-4
1.154993349E0,-8.477400243E-2,1.266750991E-1,-1.369190589E-2
1.160045901E0,-1.209840029E-1,1.128300875E-1,-2.966690622E-2
1.165098453E0,-1.625189930E-1,9.153009206E-2,-4.457690567E-2
1.170134859E0,-2.061839998E-1,7.129509002E-2,-6.055190414E-2
1.175187411E0,-2.530440092E-1,4.893009365E-2,-6.907191128E-2
1.180239963E0,-2.967090011E-1,2.337009460E-2,-7.333190739E-2
1.185292515E0,-3.382440209E-1,-2.189906314E-3,-7.759191096E-2
1.190345015E0,-3.723240197E-1,-3.094490618E-2,-7.972190529E-2
1.195397567E0,-4.010789990E-1,-6.395991147E-2,-7.652691007E-2
1.200447411E0,-4.181190133E-1,-9.803991020E-2,-6.800691038E-2
1.205499963E0,-4.245090187E-1,-1.214699075E-1,-6.374690682E-2
1.210552515E0,-4.255740047E-1,-1.417049021E-1,-5.309690535E-2
1.215605067E0,-4.117290080E-1,-1.587449014E-1,-4.244690388E-2
1.220657567E0,-3.914940059E-1,-1.619399041E-1,-3.073190711E-2
1.225710172E0,-3.606089950E-1,-1.693948954E-1,-1.901690662E-2
1.230762151E0,-3.233340085E-1,-1.725898981E-1,-8.366906084E-3
1.235814703E0,-2.817990184E-1,-1.715248972E-1,2.283093752E-3
1.240867255E0,-2.381339967E-1,-1.704598963E-1,1.186809409E-2
1.245919807E0,-1.934039891E-1,-1.715248972E-1,2.038809471E-2
1.250972307E0,-1.476089954E-1,-1.736548990E-1,2.997309342E-2
1.256024859E0,-1.060739979E-1,-1.661999077E-1,3.636309505E-2
1.261065172E0,-6.560400128E-2,-1.523548961E-1,4.488309473E-2
1.266117724E0,-3.365400061E-2,-1.353148967E-1,4.488309473E-2
1.271170276E0,-5.963999778E-3,-1.022999063E-1,4.488309473E-2
1.276222828E0,1.427100040E-2,-7.354491204E-2,4.275309294E-2
1.281275328E0,2.705099992E-2,-4.798490554E-2,3.955809027E-2
1.286327880E0,3.344099969E-2,-2.668490633E-2,3.423309326E-2
1.291373922E0,3.770099953E-2,-1.177490689E-2,3.210309148E-2
1.296426474E0,3.663599864E-2,-5.384906661E-3,3.210309148E-2
1.301479026E0,3.024599887E-2,4.200093914E-3,3.103809431E-2
1.306531578E0,1.959599927E-2,1.272009313E-2,2.997309342E-2
1.311584078E0,4.685999826E-3,2.124009468E-2,2.571309358E-2
1.316636630E0,-1.128899958E-2,2.763009444E-2,2.145309374E-2
1.321683453E0,-2.726400085E-2,2.550009452E-2,1.932309382E-2
1.326736005E0,-4.430400208E-2,2.124009468E-2,1.825809292E-2
1.331788609E0,-6.027900055E-2,1.698009484E-2,1.825809292E-2
1.336841109E0,-7.092899829E-2,9.525093250E-3,1.932309382E-2
1.341893609E0,-7.944899797E-2,3.135093488E-3,2.251809463E-2
1.346946161E0,-8.051399887E-2,-6.449906621E-3,2.038809471E-2
1.351978817E0,-7.412400097E-2,-1.070990600E-2,1.719309390E-2
1.357031370E0,-6.560400128E-2,-1.496990677E-2,8.673094213E-3
1.362083922E0,-5.601900071E-2,-1.816490479E-2,-3.041906282E-3
1.367136474E0,-4.643400013E-2,-1.816490479E-2,-1.688690670E-2
1.372189026E0,-3.578399867E-2,-1.922990568E-2,-2.966690622E-2
1.377241526E0,-2.513400093E-2,-2.242490463E-2,-4.244690388E-2
1.382287984E0,-1.341899950E-2,-2.561990544E-2,-5.416190624E-2
1.387340536E0,3.621000098E-3,-2.348990552E-2,-6.055190414E-2
1.392393140E0,1.959599927E-2,-2.455490641E-2,-6.055190414E-2
1.397445640E0,3.770099953E-2,-1.922990568E-2,-6.055190414E-2
1.402498140E0,5.793599784E-2,-1.709990576E-2,-5.842190981E-2
1.407550745E0,7.710599899E-2,-9.644906037E-3,-5.842190981E-2
1.412595380E0,9.521099925E-2,-1.177490689E-2,-5.948690325E-2
1.417647932E0,1.122509986E-1,-1.283990685E-2,-5.948690325E-2
1.422700484E0,1.229010001E-1,-1.177490689E-2,-6.481190771E-2
1.427753036E0,1.292910129E-1,-1.070990600E-2,-6.800691038E-2
1.432805536E0,1.303560138E-1,-7.514906116E-3,-6.694190949E-2
1.437858088E0,1.271610111E-1,-5.990627687E-5,-6.587690860E-2
1.442893765E0,1.175760031E-1,6.330093369E-3,-6.161690503E-2
1.447946317E0,1.090559959E-1,1.272009313E-2,-5.735690892E-2
1.452998870E0,9.840600193E-2,2.124009468E-2,-5.735690892E-2
1.458051422E0,8.456099778E-2,2.763009444E-2,-5.629190803E-2
1.463103922E0,7.284600288E-2,2.976009436E-2,-5.416190624E-2
1.468156526E0,6.113100052E-2,3.721509501E-2,-5.416190624E-2
1.473204130E0,5.474099889E-2,4.680009559E-2,-5.309690535E-2
1.478256682E0,4.835100099E-2,5.106009543E-2,-4.777190834E-2
1.483309234E0,4.835100099E-2,5.638509616E-2,-4.244690388E-2
1.488361734E0,4.728600010E-2,5.745009333E-2,-2.966690622E-2
1.493414286E0,4.835100099E-2,5.745009333E-2,-1.795190573E-2
1.498466838E0,5.580599979E-2,6.277509034E-2,-6.236906163E-3
1.503523349E0,6.645599753E-2,6.703509390E-2,4.413093906E-3
1.508575901E0,7.284600288E-2,7.023008913E-2,1.186809409E-2
1.513628453E0,8.243099600E-2,6.810008734E-2,1.719309390E-2
1.518680953E0,9.627600014E-2,6.703509390E-2,2.358309366E-2
1.523733505E0,1.037309989E-1,7.129509002E-2,3.103809431E-2
1.528786057E0,1.090559959E-1,7.662009448E-2,3.742809594E-2
1.533819390E0,1.143810004E-1,7.768508792E-2,4.275309294E-2
1.538871942E0,1.197059974E-1,7.768508792E-2,4.594809562E-2
1.543924495E0,1.197059974E-1,7.342509180E-2,4.807809740E-2
1.548976995E0,1.133159995E-1,6.703509390E-2,4.275309294E-2
1.554029547E0,1.058610007E-1,5.958009511E-2,3.636309505E-2
1.559082099E0,9.414599836E-2,4.999509454E-2,3.316809237E-2
1.564143192E0,8.243099600E-2,3.828009591E-2,2.784309350E-2
1.569195745E0,6.965100020E-2,2.550009452E-2,2.358309366E-2
1.574248297E0,5.474099889E-2,1.698009484E-2,2.251809463E-2
1.579300797E0,3.557099774E-2,6.330093369E-3,2.677809447E-2
1.584353349E0,1.746599935E-2,-6.449906621E-3,2.784309350E-2
1.589405901E0,2.555999905E-3,-2.029490471E-2,3.103809431E-2
1.594442203E0,-1.341899950E-2,-2.987990528E-2,3.636309505E-2
1.599494755E0,-3.258899972E-2,-3.733490407E-2,3.742809594E-2
1.604547307E0,-4.749900103E-2,-4.372490570E-2,3.849309683E-2
1.609599807E0,-6.134400144E-2,-5.011490732E-2,4.168809205E-2
1.614652359E0,-6.986399740E-2,-5.437490717E-2,4.807809740E-2
1.619704911E0,-7.412400097E-2,-6.076490507E-2,6.085809320E-2
1.624745953E0,-7.199399918E-2,-6.182990596E-2,7.257309556E-2
1.629798505E0,-6.986399740E-2,-5.969990417E-2,7.896309346E-2
1.634851057E0,-6.453900039E-2,-5.543990433E-2,8.215808868E-2
1.639903557E0,-6.027900055E-2,-4.904990643E-2,8.109309524E-2
1.644956109E0,-5.601900071E-2,-4.691990465E-2,7.789809257E-2
1.650008661E0,-5.282400176E-2,-5.011490732E-2,6.511808932E-2
1.655067359E0,-5.708400160E-2,-5.224490538E-2,5.446809530E-2
1.660119911E0,-5.921399966E-2,-6.182990596E-2,4.062309116E-2
1.665172463E0,-6.347399950E-2,-6.928490847E-2,2.784309350E-2
1.670224963E0,-6.666900218E-2,-7.567490637E-2,2.145309374E-2
1.675277515E0,-6.666900218E-2,-7.567490637E-2,1.506309398E-2
1.680330067E0,-6.560400128E-2,-7.460991293E-2,8.673094213E-3
1.685356422E0,-6.453900039E-2,-7.034990937E-2,6.543093827E-3
1.690408974E0,-6.027900055E-2,-6.715490669E-2,2.283093752E-3
1.695461474E0,-5.495399982E-2,-6.502491236E-2,-9.119062452E-4
1.700514026E0,-4.962899908E-2,-6.076490507E-2,-4.106906243E-3
1.705566578E0,-4.643400013E-2,-5.330990627E-2,-4.106906243E-3
1.710619130E0,-4.110899940E-2,-4.372490570E-2,-9.119062452E-4
1.715663922E0,-3.365400061E-2,-3.626990691E-2,1.530938316E-4
1.720716474E0,-3.045899980E-2,-2.561990544E-2,3.348093713E-3
1.725769026E0,-2.832899988E-2,-2.135990560E-2,7.608093787E-3
1.730821578E0,-2.832899988E-2,-2.242490463E-2,9.738094173E-3
1.735874078E0,-3.045899980E-2,-2.348990552E-2,1.293309405E-2
1.740926630E0,-3.365400061E-2,-2.348990552E-2,1.399809401E-2
1.745971630E0,-3.684899956E-2,-2.029490471E-2,1.186809409E-2
1.751024182E0,-4.004400223E-2,-1.603490487E-2,7.608093787E-3
1.756076734E0,-4.217400029E-2,-6.449906621E-3,6.543093827E-3
1.761129234E0,-4.217400029E-2,8.460094221E-3,2.283093752E-3
1.766181786E0,-3.897900134E-2,2.443509363E-2,-1.976906089E-3
1.771234338E0,-3.365400061E-2,4.254009575E-2,-8.366906084E-3
1.776280432E0,-2.406900004E-2,5.638509616E-2,-1.262690593E-2
1.781332984E0,-1.128899958E-2,6.064509600E-2,-1.688690670E-2
1.786385536E0,2.555999905E-3,6.384009123E-2,-2.327690646E-2
1.791438036E0,1.640100032E-2,6.384009123E-2,-3.286190331E-2
1.796490588E0,2.811599895E-2,5.745009333E-2,-4.351190478E-2
1.801543140E0,3.983100131E-2,5.851509422E-2,-5.309690535E-2
1.806583140E0,4.622099921E-2,5.532009527E-2,-6.587690860E-2
1.811635692E0,5.154599994E-2,5.106009543E-2,-7.546190917E-2
1.816688245E0,5.048099905E-2,4.680009559E-2,-8.717691153E-2
1.821740745E0,3.876600042E-2,3.508509323E-2,-9.356690943E-2
1.826793297E0,3.131099790E-2,2.017509378E-2,-9.676190466E-2
1.831845849E0,2.172599919E-2,1.378509402E-2,-9.463191032E-2
1.836900172E0,1.214100048E-2,8.460094221E-3,-9.356690943E-2
1.841952724E0,2.555999905E-3,6.330093369E-3,-9.463191032E-2
1.847005276E0,-8.093999699E-3,6.330093369E-3,-9.889190644E-2
1.852057776E0,-1.767900027E-2,7.395093795E-3,-9.889190644E-2
1.857110328E0,-2.619899996E-2,1.378509402E-2,-1.042169109E-1
1.862162880E0,-2.939400077E-2,1.804509386E-2,-1.074119061E-1
1.867201890E0,-3.471900150E-2,2.656509541E-2,-1.084769070E-1
1.872254442E0,-3.578399867E-2,3.082509525E-2,-1.020869091E-1
1.877306995E0,-3.258899972E-2,3.189009428E-2,-9.569691122E-2
1.882359495E0,-2.832899988E-2,3.082509525E-2,-8.504690975E-2
1.887412047E0,-2.300400101E-2,2.869509533E-2,-7.652691007E-2
1.892464599E0,-1.874400117E-2,2.976009436E-2,-6.800691038E-2
1.897500692E0,-8.093999699E-3,3.295509517E-2,-6.374690682E-2
1.902553245E0,-3.834000090E-3,3.508509323E-2,-5.842190981E-2
1.907605797E0,-3.834000090E-3,3.828009591E-2,-5.842190981E-2
1.912658349E0,-5.963999778E-3,4.467009380E-2,-6.481190771E-2
1.917710849E0,-1.022399962E-2,4.360509291E-2,-7.120190561E-2
1.922763401E0,-2.087400109E-2,3.828009591E-2,-7.865690440E-2
1.927840015E0,-3.045899980E-2,3.295509517E-2,-8.717691153E-2
1.932892567E0,-4.430400208E-2,3.402009606E-2,-9.569691122E-2
1.937945120E0,-5.921399966E-2,3.508509323E-2,-1.042169109E-1
1.942997620E0,-7.412400097E-2,3.615009412E-2,-1.159319058E-1
1.948050172E0,-8.690399677E-2,3.508509323E-2,-1.244519055E-1
