"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.740391932E0,-7.744199783E-2,6.605594754E-1,9.577607155E0
1.745443339E0,-1.013970003E-1,6.485819817E-1,9.493764877E0
1.750494693E0,-1.469115019E-1,6.294180155E-1,9.450646400E0
1.755546099E0,-1.421204954E-1,6.821190119E-1,9.397945404E0
1.760597453E0,-9.181500226E-2,7.180514932E-1,9.412318230E0
1.765646984E0,-1.061879992E-1,7.563794851E-1,9.433877945E0
1.770698339E0,-1.373295039E-1,7.635660172E-1,9.503347397E0
1.775749745E0,-1.564934999E-1,7.851254940E-1,9.603958130E0
1.780801099E0,-9.181500226E-2,7.923120260E-1,9.692591667E0
1.785852505E0,-8.223299682E-2,7.923120260E-1,9.759665489E0
1.790903859E0,-5.588249862E-2,7.923120260E-1,9.812366486E0
1.795937922E0,-8.702400327E-2,7.563794851E-1,9.869858742E0
1.800989328E0,-1.564934999E-1,7.132604718E-1,9.905791283E0
1.806040682E0,-2.020079941E-1,7.180514932E-1,9.941723824E0
1.811092089E0,-2.163809985E-1,6.677460074E-1,9.941723824E0
1.816143443E0,-2.499179989E-1,6.126495004E-1,9.932141304E0
1.821194849E0,-2.475225031E-1,5.934854746E-1,9.944119453E0
1.826210422E0,-2.475225031E-1,6.078584790E-1,9.941723824E0
1.831261828E0,-2.499179989E-1,6.222314835E-1,9.924955368E0
1.836313182E0,-2.067990005E-1,6.557685137E-1,9.896208763E0
1.841364589E0,-1.660754979E-1,7.060739994E-1,9.877044678E0
1.846415943E0,-8.223299682E-2,7.396110296E-1,9.857880592E0
1.851467349E0,4.951950163E-2,7.396110296E-1,9.838717461E0
1.856527297E0,1.285710037E-1,8.186625242E-1,9.814762115E0
1.861578651E0,1.261754930E-1,8.617814779E-1,9.807575226E0
1.866630057E0,1.429439932E-1,8.833410144E-1,9.829134941E0
1.871681411E0,8.784750104E-2,8.785499930E-1,9.759665489E0
1.876732818E0,1.070114970E-1,8.857365251E-1,9.735710144E0
1.881784172E0,8.066099882E-2,8.665724993E-1,9.687800407E0
1.886848859E0,1.022204980E-1,8.330355287E-1,9.632703781E0
1.891900214E0,8.066099882E-2,8.210579753E-1,9.651867867E0
