"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.575372970E-1,2.554369271E-1,4.637359679E-1,6.213725805E-1
9.625879220E-1,1.947319210E-1,2.422159463E-1,6.799476147E-1
9.676364110E-1,1.084669232E-1,-4.639905691E-2,6.554526091E-1
9.726990160E-1,2.752692252E-2,-2.625940442E-1,5.713176131E-1
9.777483910E-1,-3.850308061E-2,-3.392740488E-1,4.669475853E-1
9.827908910E-1,-8.749307692E-2,-3.073240519E-1,3.764225841E-1
9.878413590E-1,-1.194430813E-1,-2.359690666E-1,3.199775815E-1
9.929008910E-1,-1.481980830E-1,-1.752640605E-1,2.954826057E-1
9.979406820E-1,-1.758880764E-1,-1.241440549E-1,2.890926003E-1
1.003006151E0,-2.110330760E-1,-8.686905354E-2,2.858975828E-1
1.008041724E0,-2.504380643E-1,-6.130905449E-2,2.848325968E-1
1.013088859E0,-2.909080684E-1,-5.385405570E-2,2.720525861E-1
1.018143807E0,-3.335080743E-1,-6.130905449E-2,2.528825998E-1
1.023204641E0,-3.697180748E-1,-6.556905061E-2,2.294525802E-1
1.028271203E0,-4.027330875E-1,-7.195905596E-2,1.964375824E-1
1.033326464E0,-4.346830845E-1,-7.089405507E-2,1.570325792E-1
1.038373234E0,-4.645030797E-1,-6.237405539E-2,1.069775894E-1
1.043430474E0,-4.900630713E-1,-4.320405424E-2,4.946758598E-2
1.048471672E0,-5.102980733E-1,-1.338405535E-2,-1.123741362E-2
1.053499380E0,-5.220130682E-1,2.602094412E-2,-6.661741436E-2
1.058553234E0,-5.209480524E-1,6.329594553E-2,-1.092174128E-1
1.063601516E0,-5.007130504E-1,1.005709469E-1,-1.315824240E-1
1.068656724E0,-4.623730779E-1,1.431709379E-1,-1.305174232E-1
1.073708130E0,-4.101880789E-1,1.857709438E-1,-1.081524119E-1
1.078759484E0,-3.494830728E-1,2.187859416E-1,-8.046241105E-2
1.083810839E0,-2.855830789E-1,2.326309383E-1,-5.809741467E-2
1.088862245E0,-2.227480859E-1,2.198509425E-1,-5.170741305E-2
1.093913651E0,-1.620430797E-1,1.921609342E-1,-5.809741467E-2
1.098958651E0,-9.601307660E-2,1.527559459E-1,-6.874741614E-2
1.104010057E0,-2.572307736E-2,1.154809445E-1,-8.685241640E-2
1.109061411E0,4.456692189E-2,8.566094935E-2,-1.028274149E-1
1.114112818E0,1.169869229E-1,6.223094463E-2,-1.198674142E-1
1.119164172E0,1.862119138E-1,4.519094527E-2,-1.283874214E-1
1.124215578E0,2.543719113E-1,1.963094436E-2,-1.315824240E-1
1.129264693E0,3.108169138E-1,-6.994054653E-3,-1.347774267E-1
1.134316047E0,3.523519337E-1,-3.468405455E-2,-1.401024163E-1
1.139367453E0,3.725869358E-1,-4.852905869E-2,-1.486224234E-1
1.144418807E0,3.832369149E-1,-4.746405780E-2,-1.571424156E-1
1.149470214E0,3.843019307E-1,-4.213905334E-2,-1.571424156E-1
1.154521620E0,3.747169077E-1,-3.148905188E-2,-1.507524252E-1
1.159587141E0,3.555469215E-1,-1.870905422E-2,-1.326474249E-1
1.164638547E0,3.299869299E-1,-1.669054851E-3,-1.038924158E-1
1.169689953E0,3.022969067E-1,1.430594455E-2,-6.555241346E-2
1.174741307E0,2.735419273E-1,3.454094380E-2,-2.721241303E-2
1.179792661E0,2.469169199E-1,5.477594584E-2,6.867586169E-3
1.184844068E0,2.234869152E-1,7.607594877E-2,3.136258572E-2
1.189896411E0,2.000569254E-1,8.779094368E-2,4.414258525E-2
1.194947818E0,1.840819269E-1,8.672595024E-2,4.946758598E-2
1.199999224E0,1.702369153E-1,7.181594521E-2,5.266258493E-2
1.205050578E0,1.585219204E-1,5.477594584E-2,5.585758761E-2
1.210101932E0,1.500019282E-1,3.028094582E-2,6.437758356E-2
1.215153339E0,1.425469220E-1,5.785944872E-3,7.183258981E-2
1.220208182E0,1.329619139E-1,-1.231905539E-2,7.183258981E-2
1.225259589E0,1.223119199E-1,-2.509905584E-2,6.863758713E-2
1.230310995E0,1.074019223E-1,-3.574905545E-2,6.224758551E-2
1.235362349E0,8.716692030E-2,-3.681405634E-2,5.692258477E-2
1.240413755E0,7.225692272E-2,-3.255405277E-2,5.372758582E-2
1.245465161E0,5.628192052E-2,-1.657905430E-2,5.159758776E-2
1.250457141E0,3.604692221E-2,3.655944951E-3,5.692258477E-2
1.255508547E0,1.048692223E-2,2.069594525E-2,6.331258267E-2
1.260559901E0,-1.187807787E-2,3.347594291E-2,6.863758713E-2
1.265611307E0,-3.104807809E-2,5.158094317E-2,7.502758503E-2
1.270662714E0,-4.808807746E-2,5.903594196E-2,8.674258739E-2
1.275714068E0,-6.086808071E-2,6.649094820E-2,1.027175859E-1
1.280754172E0,-6.725808233E-2,6.329594553E-2,1.197575852E-1
1.285805578E0,-6.725808233E-2,4.838594794E-2,1.389275789E-1
1.290856932E0,-6.086808071E-2,3.773594648E-2,1.591625810E-1
1.295908339E0,-4.915307835E-2,3.347594291E-2,1.793975830E-1
1.300959745E0,-3.637307882E-2,3.560594469E-2,1.975025833E-1
1.306011099E0,-2.359307930E-2,3.347594291E-2,2.102825791E-1
1.311099797E0,-7.618078031E-3,3.241094574E-2,2.134775817E-1
1.316151151E0,1.048692223E-2,3.773594648E-2,2.092175782E-1
1.321202505E0,2.539692074E-2,4.519094527E-2,1.911125779E-1
1.326253911E0,3.924192116E-2,5.797094852E-2,1.655525714E-1
1.331305266E0,4.776192084E-2,6.010094285E-2,1.357325763E-1
1.336356672E0,5.202192068E-2,6.223094463E-2,1.069775894E-1
1.341402818E0,5.734692141E-2,6.968594342E-2,7.928758860E-2
1.346454224E0,6.267192215E-2,8.140094578E-2,5.479258671E-2
1.351505578E0,6.267192215E-2,9.205094725E-2,3.349258751E-2
1.356556984E0,5.734692141E-2,9.737594426E-2,1.964758709E-2
1.361608339E0,4.669691995E-2,9.098594636E-2,7.932586595E-3
1.366659745E0,2.752692252E-2,7.927094400E-2,-2.717413940E-3
1.371699641E0,8.356922306E-3,6.649094820E-2,-6.977413781E-3
1.376751047E0,-9.748077951E-3,5.158094317E-2,-2.717413940E-3
1.381802401E0,-2.998307720E-2,4.625594616E-2,4.737586249E-3
1.386853807E0,-4.595807940E-2,4.412594438E-2,1.538758632E-2
1.391905161E0,-6.725808233E-2,4.945094138E-2,2.284258604E-2
1.396956568E0,-8.749307692E-2,5.477594584E-2,2.603758685E-2
1.402005370E0,-1.034680754E-1,6.436094642E-2,2.603758685E-2
1.407056776E0,-1.141180769E-1,7.820595056E-2,1.858258620E-2
1.412108130E0,-1.237030774E-1,9.950594604E-2,3.672586055E-3
1.417159536E0,-1.364830732E-1,1.197409481E-1,-1.123741362E-2
1.422210943E0,-1.450030804E-1,1.346509457E-1,-1.762741432E-2
1.427262297E0,-1.481980830E-1,1.389109343E-1,-1.869241334E-2
1.432279380E0,-1.460680813E-1,1.357159466E-1,-3.782414133E-3
1.437330786E0,-1.428730786E-1,1.197409481E-1,1.112758648E-2
1.442382141E0,-1.322230846E-1,9.098594636E-2,2.923258580E-2
1.447433547E0,-1.162480786E-1,5.371094495E-2,4.414258525E-2
1.452484953E0,-1.024030820E-1,1.430594455E-2,4.946758598E-2
1.457536307E0,-8.749307692E-2,-9.124054573E-3,4.627258703E-2
1.462604276E0,-7.471308112E-2,-2.190405503E-2,3.029758669E-2
1.467655630E0,-6.086808071E-2,-2.722905576E-2,8.997586556E-3
1.472707036E0,-4.808807746E-2,-2.190405503E-2,-1.549741346E-2
1.477758391E0,-3.743807971E-2,-2.734054811E-3,-3.999241441E-2
1.482809797E0,-3.211307898E-2,2.815094590E-2,-6.448741257E-2
1.487861151E0,-3.104807809E-2,6.116594374E-2,-8.578741550E-2
1.492910891E0,-3.530807793E-2,8.459594846E-2,-9.217741340E-2
1.497962297E0,-4.489307851E-2,1.005709469E-1,-8.898241073E-2
1.503013651E0,-5.660807714E-2,1.154809445E-1,-7.620241493E-2
1.508065057E0,-7.045307755E-2,1.240009442E-1,-6.235741451E-2
1.513116411E0,-8.003807813E-2,1.314559430E-1,-4.531741515E-2
1.518167818E0,-8.749307692E-2,1.325209439E-1,-4.105741531E-2
1.523213078E0,-9.175308049E-2,1.314559430E-1,-4.318741336E-2
1.528264484E0,-9.494807571E-2,1.250659376E-1,-3.999241441E-2
1.533315839E0,-8.749307692E-2,1.208059490E-1,-4.105741531E-2
1.538367245E0,-7.790807635E-2,1.218709499E-1,-4.212241247E-2
1.543418599E0,-6.619308144E-2,1.303909421E-1,-4.744741321E-2
1.548470005E0,-5.447807908E-2,1.421059370E-1,-5.383741483E-2
1.553520891E0,-4.276308045E-2,1.495609432E-1,-6.555241346E-2
1.558572297E0,-3.104807809E-2,1.559509337E-1,-7.833241671E-2
1.563623651E0,-2.359307930E-2,1.634059399E-1,-8.578741550E-2
1.568675057E0,-1.507307868E-2,1.602109373E-1,-8.365741372E-2
1.573726411E0,-5.488078110E-3,1.474309415E-1,-7.194241136E-2
1.578777818E0,8.356922306E-3,1.229359433E-1,-5.383741483E-2
1.583821776E0,2.539692074E-2,9.205094725E-2,-3.573241457E-2
1.588873182E0,4.563192278E-2,6.329594553E-2,-1.549741346E-2
1.593924536E0,6.373692304E-2,3.560594469E-2,4.775859998E-4
1.598975943E0,8.290692419E-2,4.720944911E-3,1.006258652E-2
1.604027297E0,9.888192266E-2,-2.296905592E-2,1.432258636E-2
1.609078703E0,1.116619185E-1,-4.959405214E-2,1.006258652E-2
1.614105161E0,1.233769208E-1,-7.089405507E-2,4.737586249E-3
1.619156516E0,1.329619139E-1,-7.515405118E-2,-3.782414133E-3
1.624207922E0,1.382869184E-1,-6.556905061E-2,-1.762741432E-2
1.629259328E0,1.425469220E-1,-4.533405602E-2,-2.934241295E-2
