"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.069060750E0,-8.371354862E-1,2.583393065E-1,-9.394253612E-1,1.284544678E0
2.079023750E0,-8.044189990E-1,-4.535805780E-2,-5.369924980E-1,9.682500825E-1
2.088985750E0,-7.158485922E-1,-3.726501798E-1,-6.909128487E-2,8.099882525E-1
2.098948750E0,-5.907770880E-1,-6.775559078E-1,3.206753397E-1,9.544277078E-1
2.108911750E0,-4.069594486E-1,-8.985004795E-1,6.490304124E-1,1.180745350E0
2.118873750E0,-1.875901716E-1,-1.046665197E0,7.781328410E-1,1.317645182E0
2.128836750E0,-2.172384968E-2,-1.032732451E0,6.687624264E-1,1.230549237E0
2.138799750E0,1.072605930E-2,-9.182979092E-1,3.635003471E-1,9.876834517E-1
2.148761750E0,-2.169499733E-3,-6.559766123E-1,-4.155674636E-2,6.572952044E-1
2.158724750E0,-5.556917841E-2,-2.798875387E-1,-4.761446178E-1,5.551023914E-1
2.168687750E0,-1.495170136E-1,5.531180955E-2,-8.886756223E-1,9.028616147E-1
2.178649750E0,-2.085453317E-1,3.303768572E-1,-1.182866583E0,1.245718017E0
2.188612750E0,-2.191531676E-1,5.396222833E-1,-1.419260157E0,1.534118546E0
2.198575750E0,-2.365942059E-1,6.249606416E-1,-1.552695372E0,1.690389168E0
2.208538750E0,-2.423713646E-1,7.091853976E-1,-1.514290275E0,1.689604345E0
2.218500750E0,-2.306570527E-1,7.585765359E-1,-1.405430907E0,1.613653331E0
2.228463750E0,-2.029162354E-1,7.143829876E-1,-1.336188179E0,1.528697780E0
2.238426750E0,-2.078977525E-1,6.530793900E-1,-1.331501051E0,1.497541056E0
2.248388750E0,-1.960303533E-1,5.624782818E-1,-1.248564144E0,1.383373464E0
2.258351750E0,-1.647267361E-1,5.232130227E-1,-1.120861539E0,1.247885153E0
2.268314750E0,-1.411523523E-1,4.662835810E-1,-9.549608284E-1,1.072051560E0
2.278276750E0,-1.179225522E-1,4.400803073E-1,-8.411178786E-1,9.565854331E-1
2.288239750E0,-1.165536094E-1,4.323971755E-1,-8.134441763E-1,9.285706700E-1
2.298202750E0,-7.793011878E-2,4.502341069E-1,-8.178956616E-1,9.368762819E-1
2.308169042E0,-6.320135714E-2,4.757788745E-1,-7.391892153E-1,8.813402549E-1
2.318131042E0,-6.402695658E-2,5.423305308E-1,-6.222174203E-1,8.278746125E-1
2.328094042E0,-9.605946572E-2,5.983239430E-1,-6.322845715E-1,8.757869268E-1
2.338057042E0,-1.568149417E-1,7.249828932E-1,-6.498192018E-1,9.861318961E-1
2.348019042E0,-2.079794856E-1,8.526265146E-1,-5.811302054E-1,1.052587172E0
2.357982042E0,-2.543808329E-1,9.185530671E-1,-4.893692654E-1,1.071415710E0
2.367945042E0,-2.861851544E-1,1.005697850E0,-4.069153386E-1,1.122011676E0
2.377907042E0,-3.065545149E-1,1.077398454E0,-3.500687081E-1,1.173589025E0
2.387870042E0,-3.161853724E-1,1.112736906E0,-2.808043456E-1,1.190381322E0
2.397833042E0,-3.630596863E-1,1.135540682E0,-2.877911836E-1,1.226412957E0
2.407795042E0,-4.480151982E-1,1.148686684E0,-2.233712393E-1,1.253033690E0
2.417758042E0,-4.760004839E-1,1.126398706E0,-1.754895598E-1,1.235373260E0
2.427721042E0,-4.939723398E-1,1.095509035E0,-5.076084852E-2,1.202798979E0
2.437684042E0,-5.326844523E-1,1.017003514E0,1.586256051E-1,1.158969782E0
2.447646042E0,-5.469404391E-1,8.451713146E-1,4.638356441E-1,1.108423159E0
2.457609042E0,-5.021416309E-1,6.689653978E-1,7.319129401E-1,1.111466362E0
2.467572042E0,-5.019962545E-1,4.849558602E-1,9.159049362E-1,1.151548643E0
2.477534042E0,-5.694679703E-1,3.088597979E-1,1.151242502E0,1.321002439E0
2.487497042E0,-6.538668638E-1,2.393539455E-1,1.385955001E0,1.551033027E0
2.497460042E0,-6.422129975E-1,1.664637246E-1,1.482969080E0,1.624606105E0
2.507422042E0,-2.434776943E-1,5.172606303E-1,1.190535207E0,1.320686952E0
2.517385042E0,-1.931576528E-2,1.080394422E0,2.870830858E-1,1.118052728E0
2.527348042E0,-3.673887455E-1,1.004053466E0,-4.106265664E-2,1.069945791E0
