"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.113875040E-1,-1.229564995E-1,2.840464592E0,8.899681091E0
9.164236500E-1,-1.995000057E-2,2.900352001E0,8.799070358E0
9.214884410E-1,6.628800184E-2,2.977008104E0,8.755950928E0
9.265410980E-1,1.692945063E-1,3.020127058E0,8.751159668E0
9.316059410E-1,2.411594987E-1,3.051268578E0,8.844584465E0
9.366465140E-1,3.609344959E-1,3.106364965E0,8.880517006E0
9.416932330E-1,4.088445008E-1,3.139902115E0,8.914053917E0
9.467616710E-1,4.040535092E-1,3.135111094E0,8.933218002E0
9.518013060E-1,4.208219945E-1,3.115947008E0,9.062575340E0
9.568498480E-1,3.920759857E-1,3.089596510E0,9.170372963E0
9.619112020E-1,3.441660106E-1,3.041686535E0,9.278169632E0
9.669399520E-1,2.794874907E-1,3.024918079E0,9.345244408E0
9.720290660E-1,2.483460009E-1,2.998567581E0,9.378781319E0
9.770534410E-1,2.339729965E-1,2.941075563E0,9.371594429E0
9.821085980E-1,2.219955027E-1,2.967426062E0,9.306916237E0
9.871705770E-1,2.387640029E-1,2.953052998E0,9.232655525E0
9.922569310E-1,3.010469973E-1,2.981798887E0,9.170372963E0
9.973065140E-1,3.537479937E-1,2.998567581E0,9.098507881E0
1.002353077E0,4.184265137E-1,3.051268578E0,9.088925362E0
1.007416150E0,4.783140123E-1,3.048872948E0,9.141626358E0
1.012459483E0,5.046644807E-1,3.060850382E0,9.263796806E0
1.017507660E0,5.334104896E-1,3.087201118E0,9.306916237E0
1.022569796E0,5.334104896E-1,3.053663969E0,9.433877945E0
1.027569171E0,5.094555020E-1,3.024918079E0,9.527301788E0
1.032618858E0,4.423815012E-1,3.000962973E0,9.520115852E0
1.037702139E0,3.657254875E-1,2.960239410E0,9.654263496E0
1.042712973E0,2.962560058E-1,2.945866585E0,9.714151382E0
1.047770056E0,1.668989956E-1,2.936284542E0,9.704568863E0
1.052824014E0,1.453395039E-1,2.929097891E0,9.757269859E0
1.057889639E0,1.046160012E-1,2.893165588E0,9.754874229E0
1.062938389E0,1.165935025E-1,2.852442026E0,9.663845062E0
1.067987139E0,1.285710037E-1,2.866815090E0,9.594375610E0
1.073035889E0,1.597124934E-1,2.823695898E0,9.548861504E0
1.078084691E0,9.982500225E-2,2.845255613E0,9.488973618E0
1.083133441E0,8.545199782E-2,2.859628439E0,9.429086685E0
1.088185368E0,4.712399840E-2,2.847651005E0,9.369198799E0
1.093234171E0,4.712399840E-2,2.826091528E0,9.347639084E0
1.098282921E0,2.796000056E-2,2.830882549E0,9.352430344E0
1.103331671E0,1.837800071E-2,2.828486919E0,9.302124977E0
1.108380421E0,7.347449660E-2,2.847651005E0,9.333266258E0
1.113429171E0,1.237799972E-1,2.857233047E0,9.357221603E0
1.118495004E0,1.285710037E-1,2.871606112E0,9.309311867E0
1.123543806E0,3.754200041E-2,2.893165588E0,9.350034714E0
1.128592504E0,-7.859999896E-4,2.897956610E0,9.397945404E0
1.133641306E0,-5.109149963E-2,2.866815090E0,9.426691055E0
1.138690108E0,-8.462850004E-2,2.845255613E0,9.429086685E0
1.143738806E0,-4.630050063E-2,2.871606112E0,9.412318230E0
1.148813441E0,-7.025550306E-2,2.866815090E0,9.390758514E0
1.153862191E0,-5.109149963E-2,2.862024069E0,9.393154144E0
1.158910941E0,-3.432299942E-2,2.926702499E0,9.381176949E0
1.163959743E0,1.119150035E-2,2.986589909E0,9.328475952E0
1.169008493E0,3.275100142E-2,2.996171951E0,9.347639084E0
1.174057243E0,7.107900083E-2,3.051268578E0,9.354825974E0
1.179095941E0,1.070114970E-1,3.070432425E0,9.297333717E0
1.184144691E0,9.982500225E-2,3.070432425E0,9.333266258E0
1.189193441E0,8.305650204E-2,3.080014467E0,9.397945404E0
1.194242191E0,8.545199782E-2,3.123133421E0,9.438668251E0
1.199290941E0,1.022204980E-1,3.147088528E0,9.476996422E0
1.204339743E0,4.712399840E-2,3.120738029E0,9.520115852E0
1.209409743E0,1.837800071E-2,3.108760595E0,9.493764877E0
1.214458546E0,2.316899970E-2,3.084805489E0,9.460227966E0
1.219507296E0,-7.972500287E-3,3.032104492E0,9.453041077E0
1.224556046E0,-3.911399841E-2,3.044081926E0,9.414713860E0
1.229604796E0,-5.348699912E-2,3.024918079E0,9.383571625E0
1.234653598E0,-9.421049803E-2,2.993776560E0,9.371594429E0
1.239721827E0,-1.085835025E-1,2.986589909E0,9.385967255E0
1.244770577E0,-1.564934999E-1,3.010545015E0,9.352430344E0
1.249819327E0,-1.684709936E-1,2.993776560E0,9.230259895E0
1.254868129E0,-1.708665043E-1,2.977008104E0,9.158394814E0
1.259916879E0,-2.091944963E-1,2.981798887E0,9.134440422E0
1.264965629E0,-2.235675007E-1,2.967426062E0,9.076948166E0
1.270006618E0,-2.834550142E-1,2.943470955E0,9.000291824E0
1.275055368E0,-2.810595036E-1,2.965030432E0,8.969150543E0
1.280104118E0,-3.169920146E-1,2.931493521E0,9.057784081E0
1.285152921E0,-3.289695084E-1,2.953052998E0,9.160790443E0
1.290201671E0,-3.577154875E-1,2.943470955E0,9.251819611E0
1.295250473E0,-3.720884919E-1,2.962635040E0,9.369198799E0
1.300365577E0,-3.840659857E-1,2.933888912E0,9.457832336E0
1.305414327E0,-4.367670119E-1,2.871606112E0,9.520115852E0
1.310463077E0,-4.535354972E-1,2.895560980E0,9.630308151E0
1.315511879E0,-5.086320043E-1,2.905143023E0,9.702173233E0
1.320560629E0,-5.733104944E-1,2.859628439E0,9.697382927E0
1.325609379E0,-5.876834989E-1,2.864419460E0,9.687800407E0
1.330654275E0,-5.685194731E-1,2.806927443E0,9.603958130E0
1.335703077E0,-5.637285113E-1,2.780576944E0,9.491369247E0
1.340751775E0,-5.852879882E-1,2.766204119E0,9.426691055E0
1.345800577E0,-5.900790095E-1,2.749435425E0,9.393154144E0
1.350849327E0,-6.140339971E-1,2.723084927E0,9.345244408E0
1.355898077E0,-6.236159801E-1,2.682361603E0,9.306916237E0
1.360945212E0,-6.212205291E-1,2.663197517E0,9.290147781E0
1.365993962E0,-6.475710273E-1,2.636847019E0,9.352430344E0
1.371042712E0,-6.858990192E-1,2.660801888E0,9.357221603E0
1.376091514E0,-6.954810023E-1,2.679965973E0,9.400340080E0
1.381140264E0,-7.314134836E-1,2.679965973E0,9.476996422E0
1.386189066E0,-7.721369863E-1,2.718293905E0,9.587189674E0
1.391266358E0,-7.170404792E-1,2.751831055E0,9.654263496E0
1.396315160E0,-6.763169765E-1,2.749435425E0,9.699777603E0
1.401363910E0,-5.804970264E-1,2.780576944E0,9.723732948E0
1.406412660E0,-4.726994932E-1,2.823695898E0,9.551257133E0
1.411461462E0,-4.223940074E-1,2.864419460E0,9.405131340E0
1.416510212E0,-3.912524879E-1,2.929097891E0,9.397945404E0
1.421567608E0,-3.457379937E-1,2.933888912E0,9.340453148E0
1.426616410E0,-2.882460058E-1,2.921911478E0,9.302124977E0
1.431665160E0,-2.882460058E-1,2.897956610E0,9.196722984E0
1.436713962E0,-3.361560106E-1,2.859628439E0,9.163186073E0
1.441762712E0,-3.960435092E-1,2.802136421E0,9.225468636E0
1.446811462E0,-4.223940074E-1,2.780576944E0,9.208700180E0
1.451875837E0,-4.247894883E-1,2.751831055E0,9.211095810E0
1.456924587E0,-4.247894883E-1,2.713502884E0,9.194327354E0
1.461973337E0,-4.415580034E-1,2.689548016E0,9.261401176E0
1.467022139E0,-4.774905145E-1,2.667988539E0,9.316497803E0
1.472070889E0,-5.038409829E-1,2.644033432E0,9.395549774E0
1.477119639E0,-5.469599962E-1,2.596123457E0,9.508137703E0
1.482185785E0,-5.996609926E-1,2.533840418E0,9.623122215E0
1.487234535E0,-6.068475246E-1,2.543422461E0,9.764456749E0
1.492283285E0,-5.852879882E-1,2.548213482E0,9.836321831E0
1.497332087E0,-5.613330007E-1,2.500303507E0,9.855485916E0
1.502380837E0,-5.086320043E-1,2.495512486E0,9.886627197E0
1.507429639E0,-5.182139874E-1,2.471557617E0,9.951305389E0
1.512498285E0,-4.319759905E-1,2.500303507E0,9.924955368E0
1.517547035E0,-3.936479986E-1,2.509885550E0,9.769247055E0
1.522595785E0,-4.032300115E-1,2.531445026E0,9.637495041E0
1.527644587E0,-4.008345008E-1,2.562586546E0,9.527301788E0
1.532693337E0,-3.696930110E-1,2.572168589E0,9.378781319E0
1.537742087E0,-3.481335044E-1,2.584146023E0,9.232655525E0
1.542810212E0,-3.529244959E-1,2.584146023E0,9.177558899E0
1.547858962E0,-3.720884919E-1,2.553004503E0,9.182350159E0
1.552907712E0,-4.463489950E-1,2.514676571E0,9.230259895E0
1.557956514E0,-4.607219994E-1,2.478744030E0,9.251819611E0
1.563005264E0,-4.631175101E-1,2.457184553E0,9.309311867E0
1.568054066E0,-5.014454722E-1,2.438020468E0,9.350034714E0
1.573102087E0,-5.397735238E-1,2.442811489E0,9.369198799E0
1.578150889E0,-5.493555069E-1,2.433229446E0,9.354825974E0
1.583199639E0,-6.044520140E-1,2.457184553E0,9.282960892E0
1.588248389E0,-5.876834989E-1,2.471557617E0,9.223073959E0
1.593297139E0,-5.421689749E-1,2.481139421E0,9.170372963E0
1.598345941E0,-4.774905145E-1,2.517071962E0,9.160790443E0
1.603404691E0,-3.960435092E-1,2.529049397E0,9.112880707E0
1.608453493E0,-3.050144911E-1,2.531445026E0,9.170372963E0
1.613502243E0,-2.810595036E-1,2.541027069E0,9.335661888E0
1.618551046E0,-3.050144911E-1,2.533840418E0,9.472205162E0
1.623599743E0,-3.050144911E-1,2.531445026E0,9.675823212E0
1.628648546E0,-2.451270074E-1,2.507489920E0,9.886627197E0
1.633708025E0,-1.972170025E-1,2.502698898E0,1.002077484E1
1.638756775E0,-1.277475059E-1,2.488326073E0,1.013575935E1
1.643805525E0,-1.109789982E-1,2.490721464E0,1.017169189E1
1.648854327E0,-6.785999984E-2,2.500303507E0,1.012617683E1
1.653903077E0,-5.109149963E-2,2.495512486E0,1.015731812E1
1.658951827E0,-4.150950164E-2,2.485930443E0,1.013575935E1
1.664016671E0,-2.713650092E-2,2.505094528E0,1.005910301E1
1.669065421E0,-7.983750105E-2,2.442811489E0,1.001598358E1
1.674114171E0,-1.996124983E-1,2.387715101E0,9.908186913E0
1.679162973E0,-2.594999969E-1,2.368551016E0,9.905791283E0
1.684211723E0,-3.672975004E-1,2.325432062E0,1.000400639E1
1.689260473E0,-4.271849990E-1,2.260753393E0,1.007108021E1
1.694403077E0,-4.798859954E-1,2.220030069E0,1.011180401E1
1.699451827E0,-5.325869918E-1,2.186492920E0,1.021241474E1
1.704500577E0,-5.924745202E-1,2.121814489E0,1.025792980E1
1.709549327E0,-6.355934739E-1,2.073904514E0,1.028188419E1
1.714598129E0,-6.284070015E-1,2.078695536E0,1.013575935E1
1.719646879E0,-6.044520140E-1,2.093068600E0,9.889022827E0
1.724625785E0,-5.757060051E-1,2.131396532E0,9.694987297E0
1.729674587E0,-5.996609926E-1,2.105046034E0,9.529697418E0
1.734723337E0,-6.595485210E-1,2.117023468E0,9.335661888E0
1.739772087E0,-7.457864881E-1,2.078695536E0,9.254215240E0
1.744820837E0,-8.200470209E-1,2.030785561E0,9.251819611E0
1.749869639E0,-8.607705235E-1,2.021203518E0,9.299729347E0
1.754939431E0,-8.919119835E-1,2.009226084E0,9.342848778E0
1.759988181E0,-8.919119835E-1,2.011621475E0,9.333266258E0
1.765036931E0,-8.416064978E-1,2.047554016E0,9.409922600E0
1.770085681E0,-7.865099907E-1,2.066718102E0,9.453041077E0
