"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.175187411E0,-3.671849892E-2,2.826091528E0,8.399021149E0
1.180239963E0,-8.462850004E-2,2.773390532E0,8.427767754E0
1.185292515E0,-1.756574959E-1,2.763808489E0,8.540355682E0
1.190345015E0,-2.139855027E-1,2.711107492E0,8.631384850E0
1.195397567E0,-3.193874955E-1,2.615287542E0,8.791883469E0
1.200447411E0,-4.008345008E-1,2.574563980E0,9.007478714E0
1.205499963E0,-4.199984968E-1,2.488326073E0,9.189536095E0
1.210552515E0,-4.247894883E-1,2.447602510E0,9.376385689E0
1.215605067E0,-4.439535141E-1,2.363759995E0,9.467414856E0
1.220657567E0,-4.415580034E-1,2.299081564E0,9.635099411E0
1.225710172E0,-4.391624928E-1,2.284708500E0,9.793202400E0
1.230762151E0,-4.056254923E-1,2.227216482E0,9.896208763E0
1.235814703E0,-3.649019897E-1,2.181701899E0,9.989633560E0
1.240867255E0,-3.768795133E-1,2.164933443E0,1.005431175E1
1.245919807E0,-4.008345008E-1,2.174515486E0,1.012857246E1
1.250972307E0,-3.720884919E-1,2.179306507E0,1.019085503E1
1.256024859E0,-3.074100018E-1,2.229612112E0,1.022439289E1
1.261065172E0,-2.379405051E-1,2.205657005E0,1.026272011E1
1.266117724E0,-1.493069977E-1,2.227216482E0,1.020762444E1
1.271170276E0,-1.061879992E-1,2.260753393E0,1.016929626E1
1.276222828E0,-1.061879992E-1,2.279917479E0,1.011180401E1
1.281275328E0,-1.109789982E-1,2.327827454E0,1.000879765E1
1.286327880E0,-1.085835025E-1,2.358968973E0,9.927350044E0
1.291373922E0,-1.229564995E-1,2.337409496E0,9.795598030E0
1.296426474E0,-1.085835025E-1,2.332618475E0,9.685404778E0
1.301479026E0,-1.349339932E-1,2.358968973E0,9.565629959E0
1.306531578E0,-1.421204954E-1,2.335014105E0,9.508137703E0
1.311584078E0,-1.325384974E-1,2.303872585E0,9.426691055E0
1.316636630E0,-1.876350045E-1,2.337409496E0,9.402735710E0
1.321683453E0,-2.355449945E-1,2.306267977E0,9.352430344E0
1.326736005E0,-2.690820098E-1,2.311058998E0,9.338057518E0
1.331788609E0,-3.361560106E-1,2.313454390E0,9.378781319E0
1.336841109E0,-3.122009933E-1,2.327827454E0,9.484183311E0
1.341893609E0,-2.906414866E-1,2.373342037E0,9.553652763E0
1.346946161E0,-2.690820098E-1,2.375737429E0,9.647076607E0
1.351978817E0,-2.044035047E-1,2.380528450E0,9.699777603E0
1.357031370E0,-1.493069977E-1,2.399692535E0,9.733315468E0
1.362083922E0,-1.229564995E-1,2.378133059E0,9.769247055E0
1.367136474E0,-1.301430017E-1,2.356573582E0,9.762061119E0
1.372189026E0,-1.588889956E-1,2.335014105E0,9.800389290E0
1.377241526E0,-1.948215067E-1,2.344595909E0,9.898604393E0
1.382287984E0,-2.475225031E-1,2.289499521E0,9.929745674E0
1.387340536E0,-3.002234995E-1,2.265544415E0,9.987237930E0
1.392393140E0,-3.529244959E-1,2.232007504E0,1.002556610E1
1.397445640E0,-4.152075052E-1,2.155351400E0,1.003754330E1
